support
15058,15065.5,15071.35,15070.05,15069.95,15058.05,15057.95,14977.55,15067.35,15158.55,15081.4,15160.35,15288.15,15250.75,15223.55,15171.15,15222.7,15222.6,15222.5,15222.4,15222.3,15222.2,15086.85,15086.75,15086.65,15086.55,15086.45,15060.55,15060.45,15057.1,15057.0,15056.9,15056.8,15056.7,15059.1,15059.0,15058.9,15058.8,15058.7,15078,15077.9,15077.8,15077.7,15082.5,15082.4,15082.3,15069.25,15069.15,15069.05,15068.95,15091.65,15091.55,15091.45,15164.05,15163.95,15015.5,15029.55,15059.25,15170.4,15170.3,15170.2,15111.1,15111.0,15110.9,15110.8,15019,15018.9,15018.8,15018.7,15026.5,15026.4,15026.3,15026.2,14977.1,14977.0,14976.9,14976.8,14976.7,14981.1,14981.0,15011.3,15011.2,15084.95,15084.85,15084.75,15084.65,15084.55,15053.95,15053.85,15053.75,15053.65,15053.55,15053.45,15057.9,15057.8,15021.25,15097.5,15162.4,15162.3,15162.2,15101.5,15101.4,15101.3,15101.2,15172.95,15172.85,15172.75,15172.65,15172.55,15172.45,15284.25,15284.15,15284.05,15283.95,15224.25,15224.15,15224.05,15223.95,15020.05,15019.2,15019.1,14972.4,15027.45,15027.35,14973.85,14973.75,14973.65,14973.55,14973.45,15084.35,15084.25,15084.15,15084.05,15083.95,15102.8,15102.7,15098.6,15098.5,15098.4,15098.3,15098.2,15103.7,15103.6,15103.5,15103.4,15103.3,15103.2,15100.35,15100.25,15100.15,15100.05,15099.95,15069.65,15069.55,15069.45,15062.65,15062.55,15062.45,15083.55,15083.45,15032.4,15032.3,15032.2,15050.2,15050.1,15050.0,15049.9,15049.8,15049.7,14980.7,14980.6,14980.5,14980.4,14980.3,14980.2,14977.7,14977.6,14977.5,14977.4,14977.3,14977.2,14986.4,14986.3,15069.2,15069.1,15069.0,15068.9,15068.8,15068.7,15083.35,15083.25,15083.15,15083.05,15082.95,15076.1,15076.0,15075.9,15075.8,15075.7,15155.2,15155.1,15146.5,15171.45,15248,15247.9,15247.8,15247.7,15223.45,15245.85,15245.75,15245.65,15245.55,15245.45,15163.6,15290.35,15290.25,15290.15,15290.05,15289.95,15290.4,15290.3,15290.2,15284.9,15284.8,15284.7,15295.8,15295.7,15298,15297.9,15297.8,15297.7,15289.75,15289.65,15289.55,15289.45,15324.35,15374.9,15608.95,15567.7,15649.85,15729.55,15607.75,15732.9,15732.8,15732.7,15570.35,15451.5,15569.55,15569.45,15617.55,15546.9,15606.45,15606.35,15606.25,15606.15,15606.05,15605.95,15651.95,15651.85,15726.8,15726.7,15732.35,15732.25,15732.15,15732.05,15731.95,15735,15734.9,15734.8,15734.7,15649.95,15649.75,15649.65,15649.55,15649.45,15655.5,15655.4,15655.3,15655.2,15659.65,15659.55,15659.45,15657.1,15657.0,15656.9,15656.8,15656.7,15653.3,15653.2,15686.55,15645.15,15683.4,15683.3,15729.8,15729.7,15682.1,15682.0,15642.75,15642.65,15642.55,15642.45,15650.35,15650.25,15650.15,15650.05,15658.85,15658.75,15658.65,15618.3,15618.2,15725.2,15725.1,15725.0,15724.25,15724.15,15574.75,15574.65,15574.55,15689.05,15688.95,15713.7,15671.65,15673.3,15681.15,15684.4,15684.3,15684.2,15660.95,15723.25,15693.35,15693.25,15693.15,15693.05,15692.95,15690.1,15690.0,15689.9,15689.8,15689.7,15723.95,15723.85,15723.75,15723.65,15723.55,15723.45,15710.8,15710.7,15679.85,15679.75,15679.65,15719.45,15719.35,15719.25,15719.15,15719.05,15718.95,15623.7,15623.6,15623.5,15540.95,15370.35,15363.45,15185.55,15297.6,15297.5,15297.4,15297.3,15297.2,15254.2,15254.1,15254.0,15253.9,15253.8,15253.7,15295.85,15295.75,15295.65,15295.55,15295.45,15250.45,15192.5,15252.7,15252.6,15252.5,15252.4,15325.4,15325.3,15325.2,15250.2,15250.1,15250.0
resistance
15014,14990,14990.3,14990.4,14990.5,14990.6,14990.7,14990.8,14990.1,15196,15256,15168,15140,15091,15142,15167.3,15167.4,15167.5,15167.6,15167.7,15167.8,15142.1,15142.2,15142.3,15136.6,15136.7,15136.8,15170.6,15170.7,15170.8,15145.05,15145.15,15145.25,15145.35,15145.45,15145.55,15319,15321.6,15321.7,15321.8,15321,15261.45,15261.55,15313,15170.05,15170.15,15170.25,15170.35,15170.45,15170.55,15121,15126.85,15126.95,15126,15092.55,15092.65,15092.75,15092.85,15092.95,15093.05,15049,14986,15018.4,15018,15009.7,15009,15008,15170.3,15170.4,15170.5,15148.6,15148.7,15148.8,15095.8,15095.9,15096.0,15096.1,15096.2,15096.3,15133.4,15133.5,15133.6,15133.7,15133.8,15144.65,15144.75,15107,15050.7,15050.8,15090.3,15090.4,15090.5,15090.6,15090.7,15090.8,15112.1,15112.2,15112.3,15139.55,15139.65,15139.75,15139.85,15139.95,15140.05,15171.7,15171.8,15271,15100,15091.75,15091.85,15091.95,15092.05,15170.65,15170.75,15170.85,15170.95,15171.05,15198.6,15198.7,15198.8,15140.45,15140.55,15087,15022,15090,15045.6,15045,15016.25,15016.35,15016.45,15016.55,15045.7,15045.8,15047.2,15047.3,15110.25,15110,15046.25,15046.35,15046.45,15046.55,15025.4,15025.5,15025.6,15025.7,15025.8,15045.25,15045.1,14981.75,14981.85,14981.95,15083.5,15083.6,15083.7,15083.8,15089.05,15089.15,15089,15032,14992.35,14992.45,14992.55,15024.15,15024.25,15024.35,15024.45,15024.55,15124.1,15192.95,15193.05,15149.8,15149.9,15150.0,15150.1,15150.2,15150.3,15167.05,15167.15,15167.25,15167.35,15167.45,15167.55,15194.15,15194.25,15194.35,15194.45,15194.55,15118,15029.4,15029.5,15029.6,15029,15010.15,15010.25,15010.35,15010.45,15010.55,14994.35,14994.45,14994.55,15009.1,14968.75,14968.85,14968.95,14968,14964.95,14965.05,15123.55,15123.65,15123.75,15123.85,15123.95,15124.05,15101.15,15101.25,15101.35,15121.5,15121.6,15121.7,15121.8,15122.4,15122.5,15122.6,15122.7,15122.8,15122.45,15122.55,15111.95,15112.05,15133.1,15133.2,15133.3,15096.55,15096.65,15096.75,15096.85,15096.95,15097.05,15094.7,15094.8,15123.4,15123.5,15123.6,15123.7,15123,15055.2,15055.3,15068,15012.75,15012.85,15012.95,15013.05,15018.6,15018.7,15018.8,15012.05,15012.15,15012.25,15012.35,15012.45,15012.55,15069.25,15069.35,15069.45,15069.55,15102.1,15102.2,15102.3,15110.35,15110.45,15110.55,15111.2,15111.3,15174.7,15174.8,15189.2,15189.3,15256.1,15269.2,15269.3,15260.3,15260.4,15260.5,15260.6,15260.7,15260.8,15260.05,15260.15,15260.25,15260,15313.1,15313.2,15313.3,15314.55,15314.65,15314.75,15314.85,15314.95,15315.05,15315.25,15315.35,15315.45,15315.55,15319.3,15319.4,15319.5,15319.6,15319.7,15316.05,15316.15,15316.25,15729,15733.65,15733.75,15732.95,15733.05,15731.3,15731.4,15731.5,15731.6,15731.7,15730.55,15730.65,15730.75,15730.85,15730.95,15731.05,15724.55,15724.65,15724,15662,15719.55,15719.65,15719.75,15718.25,15718.35,15718.45,15718.55,15721.35,15721.45,15734.45,15734.55,15660,15611,15456,15388,15399,15313.8,15313.9,15314.0,15314.1,15314.2,15275.65,15275.75,15275.85,15275.95,15276.05,15321.3,15321.4,15321.5,15387,15362,15322.9,15322,15308.2,15308.3,15358.3,15358.4,15358.5,15358.6,15358.7,15358,15324.75,15324.85,15324.95,15325.05
